000113,d
000128,p
000326,p
000367,d
000402,p
000440,d
000502,p
000536,d
000600,d
000603,d
000656,p
000725,d
000774,d
000910,d
001007,p
001093,p
001282,p
001637,p
001649,d
001817,p
001973,d
001976,p
001984,p
002001,d
002053,p
002353,d
002591,p
002599,d
002617,d
002702,d
002740,d
002760,p
002774,d
002802,d
002879,d
002923,d
002965,p
003189,p
003298,d
003480,p
003515,d
003620,d
003835,d
003915,p
004108,p
004166,p
004254,d
004265,d
004704,p
004725,d
004820,d
004899,d
004901,d
005103,p
005222,d
005504,p
005662,p
005808,p
005830,d
005981,d
005987,d
006367,d
006375,d
006492,p
006501,d
006640,p
006670,p
007043,d
007118,p
007126,d
007398,d
007468,d
007532,p
007722,p
007747,d
007779,d
008084,d
008146,d
008424,d
008456,p
008725,p
008751,d
008785,p
008852,d
008879,d
008903,p
009228,d
009408,p
009498,d
009642,p
010214,p
010259,d
010481,d
010517,p
010616,d
010648,p
011168,p
011215,p
011427,d
011802,d
011865,p
011946,p
011980,p
012148,p
012276,p
012479,d
012495,d
012651,d
012660,p
012758,d
012830,d
013051,p
013263,d
013323,p
013344,d
013390,p
013584,d
013875,p
013964,d
014117,d
014177,d
014218,d
014248,p
014399,d
014746,d
014764,d
015024,d
015069,d
015161,p
015227,d
015263,p
015297,p
015334,d
015368,d
015438,p
015446,d
015602,d
015636,p
015731,d
016004,d
016190,d
016194,d
016564,p
016597,d
016669,d
016766,p
016810,p
016820,p
016847,p
017120,p
017232,p
017378,p
017543,p
017586,p
017762,d
018137,p
018205,p
018228,d
018232,d
018242,p
018246,d
018317,p
018365,p
018379,d
018421,d
018424,p
018435,d
018480,p
018601,d
018762,d
018778,d
018811,d
018890,d
019050,p
019096,d
019111,p
019259,p
019470,p
019924,d
019956,d
020021,p
020073,p
020139,p
020367,p
020534,p
020578,p
020587,d
020849,d
021100,d
021168,p
021287,d
021305,d
021433,d
021635,p
021643,p
021680,d
021787,d
021855,p
022057,d
022108,p
022211,d
022460,p
022577,p
022709,d
022745,d
022862,p
022945,p
022968,d
023252,d
023360,d
023445,d
023504,d
023601,d
023708,p
023747,d
023821,p
024124,d
024279,p
024333,d
024428,p
024557,p
024565,d
024588,d
024774,d
024836,p
025026,p
025148,p
025321,d
025442,p
025607,d
026145,d
026255,p
026259,d
026335,p
026527,p
026532,d
026709,p
026737,d
026767,d
026915,d
027072,p
027223,d
027310,d
027311,p
027331,d
027404,p
027512,d
027559,p
027694,p
027759,d
027858,p
027883,p
027923,d
028061,d
028203,d
028312,d
028395,d
028580,d
028773,p
029195,p
029511,d
029564,d
029628,d
029733,p
030020,p
030099,p
030106,d
030118,p
030148,d
030149,d
030234,d
030270,d
030300,d
031052,p
031172,p
031300,d
031303,d
031321,d
031542,p
031596,p
031686,d
031793,p
031855,d
032049,d
032142,p
032207,p
032215,d
032274,p
032338,p
032410,p
032561,p
032659,d
032715,p
032789,p
033314,p
033575,p
033711,d
033764,p
033818,p
033830,d
033886,p
033945,p
034312,p
034487,d
034615,p
034681,d
034697,p
034732,d
035232,p
035297,d
035333,d
035354,d
035366,p
035659,d
035739,d
035834,d
036114,p
036175,p
036187,p
036308,d
036344,p
036533,d
036540,p
036635,p
036731,d
037160,p
037215,p
037220,p
037222,p
037230,d
037287,d
037453,d
037615,p
037849,d
037925,d
038007,p
038032,p
038249,p
038638,d
038647,p
038660,d
038669,p
039024,d
039090,p
039216,d
039390,p
039587,p
039634,d
039925,p
039940,d
